# PiInput compact built-in development lexicon: word<TAB>weight<TAB>flags
about	1000	builtin
after	980	builtin
again	960	builtin
all	940	builtin
also	920	builtin
Apple	900	proper
application	880	builtin
apply	860	builtin
because	840	builtin
before	820	builtin
between	800	builtin
build	780	builtin
candidate	760	builtin
change	740	builtin
code	720	builtin
computer	700	builtin
configuration	680	builtin
data	660	builtin
development	640	builtin
dictionary	620	builtin
English	600	proper
example	580	builtin
feature	560	builtin
first	540	builtin
function	520	builtin
input	500	builtin
language	480	builtin
learning	460	builtin
local	440	builtin
offline	420	builtin
only	400	builtin
prefix	380	builtin
project	360	builtin
release	340	builtin
settings	320	builtin
system	300	builtin
test	280	builtin
text	260	builtin
update	240	builtin
user	220	builtin
window	200	builtin
word	180	builtin
work	160	builtin
